country,location_name,latitude,longitude,timezone,last_updated,temperature_celsius,condition_text,humidity,pressure_mb,visibility_km,wind_kph,wind_mph,wind_degree,wind_direction,gust_mph,gust_kph,pressure_in,sunrise,sunset
Ukraine,Kyiv,50.45,30.52,Europe/Kiev,2024-01-15 12:00,-3.0,Partly cloudy,75,1020.0,10.0,15.0,9.3,180,S,20.0,32.0,30.12,07:45 AM,04:30 PM
Ukraine,Lviv,49.84,24.03,Europe/Kiev,2024-01-15 14:00,-5.0,Snow,85,1015.0,5.0,25.0,15.5,270,W,35.0,56.3,29.97,07:50 AM,04:25 PM
Ukraine,Odessa,46.47,30.73,Europe/Kiev,2024-01-15 12:00,-1.0,Cloudy,70,1022.0,12.0,60.0,37.3,200,SSW,80.0,128.7,30.18,07:40 AM,04:35 PM
United States,New York,40.71,-74.01,America/New_York,2024-01-15 12:00,2.0,Clear,50,1025.0,16.0,10.0,6.2,90,E,15.0,24.1,30.27,07:15 AM,04:50 PM
United Kingdom,London,51.51,-0.13,Europe/London,2024-01-15 12:00,8.0,Overcast,80,1010.0,8.0,55.0,34.2,220,SW,75.0,120.7,29.83,08:00 AM,04:10 PM
Japan,Tokyo,35.68,139.69,Asia/Tokyo,2024-01-15 12:00,10.0,Sunny,45,1018.0,20.0,8.0,5.0,0,N,12.0,19.3,30.06,06:50 AM,04:55 PM
Germany,Berlin,52.52,13.41,Europe/Berlin,2024-01-15 12:00,1.0,Fog,90,1008.0,2.0,5.0,3.1,315,NW,8.0,12.9,29.77,08:15 AM,04:15 PM
France,Paris,48.86,2.35,Europe/Paris,2024-01-16 09:00,6.0,Rain,88,1005.0,6.0,30.0,18.6,250,WSW,45.0,72.4,29.68,08:30 AM,05:05 PM
Poland,Warsaw,52.23,21.01,Europe/Warsaw,2024-01-16 10:00,0.0,Sleet,78,1012.0,7.0,40.0,24.9,190,S,55.0,88.5,29.88,07:35 AM,04:00 PM
Ukraine,Kharkiv,49.99,36.23,Europe/Kiev,2024-01-16 11:00,-7.0,Clear,60,1028.0,15.0,12.0,7.5,45,NE,18.0,29.0,30.36,07:42 AM,04:28 PM
